"CHAVE" "HOST NAME" "IP" "STATUS"
"SWWEB038" "www.policiacivil.rj.gov.br/drfa" "-" "OPERACIONAL"
"SWWEB039" "www.emater.rj.gov.br" "-" "OPERACIONAL"
"SWWEB040" "www.emop.rj.gov.br" "-" "OPERACIONAL"
"SWWEB041" "www.espacodoagricultor.rj.gov.br" "-" "OPERACIONAL"
"SWWEB042" "www.falacidadao.rj.gov.br" "-" "OPERACIONAL"
"SWWEB043" "www.feema.rj.gov.br" "-" "OPERACIONAL"
"SWWEB044" "www.fia.rj.gov.br" "-" "OPERACIONAL"
"SWWEB045" "www.fia.rj.gov.br/fiacriancarua" "-" "OPERACIONAL"
"SWWEB046" "www.fiperj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB047" "www.funarj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB048" "www.fcfb.rj.gov.br" "-" "OPERACIONAL"
"SWWEB049" "www.leaoxiii.rj.gov.br" "-" "OPERACIONAL"
"SWWEB050" "www.subsecmilitar.rj.gov.br" "-" "OPERACIONAL"
"SWWEB051" "www.iaserj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB052" "www.imprensa.rj.gov.br" "-" "OPERACIONAL"
"SWWEB053" "www.isp.rj.gov.br" "-" "OPERACIONAL"
"SWWEB054" "www.ieea.rj.gov.br" "-" "OPERACIONAL"
"SWWEB055" "www.ief.rj.gov.br" "-" "OPERACIONAL"
"SWWEB056" "www.ivb.rj.gov.br" "-" "OPERACIONAL"
"SWWEB057" "www.internetcomunitaria.rj.gov.br" "-" "OPERACIONAL"
"SWWEB058" "www.proderj.rj.gov.br/intragov" "-" "OPERACIONAL"
"SWWEB059" "www.ipem.rj.gov.br" "-" "OPERACIONAL"
"SWWEB060" "www.iperj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB061" "www.iterj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB062" "www.cibg.rj.gov.br/qualidadedaagua" "-" "OPERACIONAL"
"SWWEB063" "www.suderj.rj.gov.br/jogos2007" "-" "OPERACIONAL"
"SWWEB064" "www.mis.rj.gov.br" "-" "OPERACIONAL"
"SWWEB065" "www.nterj10.see.rj.gov.br" "-" "-"
"SWWEB066" "www.nterio3.rj.gov.br" "-" "OPERACIONAL"
"SWWEB067" "www.governo.rj.gov.br/palaciolaranjeiras" "-" "OPERACIONAL"
"SWWEB068" "www.pesagro.rj.gov.br" "-" "OPERACIONAL"
"SWWEB069" "www.policiamilitar.rj.gov.br/dip" "-" "OPERACIONAL"
"SWWEB070" "www.policiacivil.rj.gov.br" "-" "OPERACIONAL"
"SWWEB071" "www.policiamilitar2.rj.gov.br" "-" "OPERACIONAL"
"SWWEB072" "www.governo.rj.gov.br" "-" "OPERACIONAL"
"SWWEB073" "www.desenvolvimento.rj.gov.br/portaldoin" "-" "OPERACIONAL"
"SWWEB074" "www.governo.rj.gov.br/portaljovem" "-" "OPERACIONAL"
"SWWEB075" "www.japeri.rj.gov.br" "-" "OPERACIONAL"
"SWWEB076" "www.pmepf.rj.gov.br" "-" "OPERACIONAL"
"SWWEB077" "www.iguaba.rj.gov.br" "-" "OPERACIONAL"
"SWWEB078" "www.procon.rj.gov.br" "-" "OPERACIONAL"
"SWWEB079" "www.pge.rj.gov.br/da" "-" "OPERACIONAL"
"SWWEB080" "www.pge.rj.gov.br" "-" "OPERACIONAL"
"SWWEB081" "www.fia.rj.gov.br/pmf" "-" "OPERACIONAL"
"SWWEB082" "www.proderj.rj.gov.br" "-" "OPERACIONAL"
"SWWEB083" "www.proderj.rj.gov.br/paporeto" "-" "OPERACIONAL"
"SWWEB084" "www.prossiganosestados.rj.gov.br" "-" "OPERACIONAL"
"SWWEB085" "www.pse.rj.gov.br" "-" "OPERACIONAL"
"SWWEB086" "www.proderj.rj.gov.br/ccp" "-" "OPERACIONAL"
"SWWEB087" "www.proderj.rj.gov.br/tro" "-" "OPERACIONAL"
"SWWEB088" "www.represbsb.rj.gov.br" "-" "OPERACIONAL"
"SWWEB089" "www.proderj.rj.gov.br/rioconhecimento" "-" "OPERACIONAL"
"SWWEB090" "www.riofazdesign.rj.gov.br" "-" "OPERACIONAL"
"SWWEB091" "www.rioprevidencia.rj.gov.br" "-" "OPERACIONAL"
"SWWEB092" "www.santacabrini.rj.gov.br" "-" "OPERACIONAL"
"SWWEB093" "www.saudenaescola.rj.gov.br" "-" "OPERACIONAL"
"SWWEB094" "www.agricultura.rj.gov.br" "-" "OPERACIONAL"
"SWWEB095" "www.social.rj.gov.br" "-" "OPERACIONAL"
